Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/08/2016;65,56;0,74;0,37;82,66;79,31;92,7;72,62;79,44;77,95;81,3;78,45;93,94;98,15;69,52;79,44;9683;315 - AMFRI - ITAJAI
01/03/2016;60,49;28,29;0,4;71,83;93,65;87,89;81,9;98,2;87,73;71,75;47,54;90,61;113,7;87,18;89,17;15018;326 - GRANFPOLIS - FPOLIS
01/03/2015;85,2;79,49;0,91;53,93;105,55;94,8;101,66;109,52;105,88;57,74;133,84;109,35;67,17;104,72;105,71;14507;326 - GRANFPOLIS - FPOLIS
01/12/2020;62,95;66,57;68,07;72,59;63,55;81,93;61,14;80,72;99,7;71,08;73,19;84,04;62,05;62,05;85,84;3984;312 - AMAVI - RIO DO SUL
01/04/2015;93,55;93,55;92,44;94,66;113,04;112,48;103,57;120,84;103,57;105,8;123,62;105,8;131,42;98;101,35;2155;309 - AMAI - XANXERE
01/08/2015;104,34;107,64;0,13;70,57;131,25;98,41;112,52;99,46;100,78;67,8;131,12;98,67;137,85;124,26;112,92;9097;315 - AMFRI - ITAJAI
01/03/2016;60,28;47,1;0,47;69,7;92,31;83,36;86,66;90,42;84,3;77,24;42,86;96,08;75,35;91,37;85,71;2548;314 - AMESC - ARARANGUA
01/02/2017;62,64;61,7;0,94;65,46;84,3;73;80,06;80,06;70,17;65,93;56,51;75,82;98,43;79,59;70,17;2548;314 - AMESC - ARARANGUA
01/08/2016;92,78;0,47;0;109,26;111,15;101,26;94,19;109,73;102,67;109,73;107,85;107,85;99,37;81,48;102,2;2548;314 - AMESC - ARARANGUA
01/07/2019;106,3;96,52;84,51;93,4;121,87;116,09;112,97;124,98;84,06;93,4;96,07;116,09;128,98;121,42;90,29;2698;314 - AMESC - ARARANGUA
01/03/2018;67,71;64,19;80,36;69,58;79,66;76,38;69,82;78,95;69,58;70,05;70,99;80,36;87,39;74,03;74,97;5122;319 - AMPLA - MAFRA
01/09/2015;64,04;21,16;79,07;58,47;80,19;88,54;77,96;94,66;91,32;60,14;84,64;90,21;118,61;75,73;74,62;2155;309 - AMAI - XANXERE
01/03/2017;70,95;74,87;1,12;22,05;93,89;75,03;29,8;79,18;33,08;22,45;24,13;33,16;27,89;90,69;87,42;15018;326 - GRANFPOLIS - FPOLIS
01/01/2020;244,09;107,01;111,22;104,61;104,01;104,01;112,42;108,22;130,46;102,2;97,39;109,42;97,39;101;123,25;1996;311 - AMAUC - CONCORDIA
01/03/2015;98,79;85,75;0,5;85,75;124,86;123,86;105,31;122,86;139,41;85,25;128,37;117,84;132,89;120,85;133,89;2393;314 - AMESC - ARARANGUA
